====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Li   Energy = 8000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.23
 Total Target Vacancies     = 16 /Ion
 Total Target Displacements = 18 /Ion
 Total Target Replacement Collisions = 1 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH         Li           Al           Si            O           Si       
310000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
315000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
320000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
325000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
330000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
335000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
340000.E-01  4335.45E-07  0000.00E+00  0000.00E+00  0000.00E+00  6503.17E-07  
345000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
350000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  1300.63E-06  
355000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
360000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
365000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
370000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  4335.45E-07  
375000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
380000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
385000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
390000.E-01  6503.17E-07  0000.00E+00  0000.00E+00  0000.00E+00  1950.95E-06  
395000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
400000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
405000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
410000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
415000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
420000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
425000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
430000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  1517.41E-06  
435000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
440000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
445000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  6503.17E-07  
450000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
455000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  4335.45E-07  
460000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  6503.17E-07  
465000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
470000.E-01  6503.17E-07  0000.00E+00  0000.00E+00  0000.00E+00  1950.95E-06  
475000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
480000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  2167.72E-07  
485000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
490000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  1083.86E-06  
495000.E-01  2167.72E-07  0000.00E+00  0000.00E+00  0000.00E+00  6503.17E-07  
500000.E-01  4335.45E-07  0000.00E+00  0000.00E+00  0000.00E+00  6503.17E-07  

 To convert to Energy Lost - multiply by Average Binding Energy =  2.5  eV/Vacancy
